Destination,Duration(days),Travelerage,Travelergender,Travelernationality,Accommodationtype,Accommodationcost,Transportationtype,Transportationcost
"Tokyo, Japan",11,29.0,Female,Korean,Hotel,1400,Train,2500
"Bali, Indonesia",8,42.0,Male,South Korean,Vacation rental,400,Bus,1000
London,12,26.0,Female,American,Resort,400,Bus,500
"Cape Town, SA",8,37.0,Female,British,Hostel,900,Car rental,2000
Bali,8,33.0,Female,Indian,Hotel,1400,Plane,500
Spain,12,38.0,Male,Mexican,Hotel,180,Plane,100
"Amsterdam, Netherlands",7,27.0,Male,Chinese,Airbnb,600,Train,150
"Bali, Indonesia",7,29.0,Female,British,Hotel,1000,Ferry,1200
"Paris, France",13,27.0,Male,British,Hotel,1200,Plane,300
"Auckland, New Zealand",8,30.0,Female,Taiwan,Guesthouse,1000,Plane,600
"New York, USA",11,39.0,Male,Canadian,Hostel,700,Plane,2500
"Cancun, Mexico",11,42.0,Male,Korean,Resort,900,Airplane,2500
"Edinburgh, Scotland",8,29.0,Female,British,Airbnb,800,Flight,400
"Sydney, Aus",7,33.0,Male,Emirati,Hostel,1200,Bus,120
Seoul,10,29.0,Male,Canadian,Airbnb,3000,Flight,1200
Cape Town,7,29.0,Male,American,Hotel,800,Plane,600
Rome,7,33.0,Male,British,Hostel,350,Train,500
Bangkok,10,42.0,Male,Brazilian,Villa,2000,Car,100
Phnom Penh,12,28.0,Female,Brazilian,Hostel,1000,Car rental,400
"Rio de Janeiro, Brazil",8,29.0,Female,Germany,Resort,1100,Plane,500
"New York, USA",13,47.0,Male,Korean,Hostel,5000,Plane,1500
"Vancouver, Canada",11,29.0,Female,American,Hostel,3000,Train,300
Dubai,14,45.0,Female,Australian,Hostel,200,Airplane,300
"Paris, France",10,42.0,Male,British,Hostel,400,Plane,1200
"Paris, France",13,35.0,Female,Australian,Hotel,1100,Car rental,75
"Bali, Indonesia",13,31.0,Male,Indonesian,Hostel,600,Flight,800
Bangkok,12,31.0,Female,Australian,Hostel,1200,Plane,100
"New York City, USA",12,30.0,Male,Canadian,Hotel,500,Train,600
"Paris, France",7,28.0,Male,Canadian,Resort,1000,Subway,1000
Cape Town,8,31.0,Female,Chinese,Airbnb,180,Plane,100
London,7,27.0,Female,United Kingdom,Hotel,350,Plane,700
"Los Angeles, USA",7,28.0,Male,British,Airbnb,1400,Plane,700
"Bali, Indonesia",7,31.0,Male,Taiwan,Hostel,800,Plane,2500
Paris,11,26.0,Male,Australian,Hotel,600,Plane,50
"Cancun, Mexico",13,27.0,Male,American,Hostel,2500,Car,700
Tokyo,11,26.0,Male,Japan,Airbnb,6000,Plane,300
Dubai,8,43.0,Male,Indian,Vacation rental,700,Plane,200
"New York, USA",9,37.0,Male,American,Hostel,500,Bus,400
"Honolulu, Hawaii",9,24.0,Male,Brazilian,Guesthouse,1000,Train,500
Tokyo,14,32.0,Female,Chinese,Villa,400,Train,200
"Cancun, Mexico",13,29.0,Female,USA,Resort,900,Plane,150
Sydney,12,33.0,Female,British,Resort,1100,Train,800
"Phuket, Thai",8,38.0,Female,British,Airbnb,2000,Plane,100
"Rome, Italy",9,45.0,Female,Korean,Hostel,400,Car rental,1000
"Sydney, Australia",10,24.0,Female,Greece,Hotel,150,Plane,1000
"Bali, Indonesia",8,29.0,Male,German,Guesthouse,4000,Car,300
Canada,10,29.0,Male,Brazilian,Hotel,900,Flight,500
"Auckland, New Zealand",7,37.0,Female,American,Hostel,400,Plane,150
Bali,8,32.0,Female,Emirati,Hostel,900,Train,500
Rome,13,32.0,Male,American,Resort,900,Plane,400
"Cancun, Mexico",12,45.0,Male,Korean,Hotel,2500,Plane,150
France,7,35.0,Female,Emirati,Airbnb,2000,Plane,50
Paris,7,27.0,Female,American,Hostel,600,Plane,500
"Amsterdam, Netherlands",13,27.0,Male,Canadian,Hostel,500,Flight,800
"Paris, France",12,27.0,Male,British,Hotel,900,Train,700
Thailand,8,45.0,Male,American,Villa,1000,Train,1200
"Cape Town, SA",8,27.0,Female,Brazilian,Hotel,500,Car rental,1500
"Barcelona, Spain",10,45.0,Female,Emirati,Hotel,800,Car rental,50
"Sydney, Australia",9,29.0,Female,American,Hotel,1400,Flight,800
"Paris, France",7,33.0,Female,British,Resort,180,Plane,2000
"Auckland, New Zealand",11,37.0,Female,American,Hotel,700,Bus,500
"Barcelona, Spain",8,27.0,Female,British,Hotel,1500,Airplane,600
"Bangkok, Thailand",8,28.0,Male,Moroccan,Airbnb,1500,Plane,20
Rome,10,45.0,Male,Singapore,Airbnb,1200,Plane,120
"Rome, Italy",7,30.0,Male,Emirati,Hotel,500,Car rental,600
Thailand,7,31.0,Male,Greece,Resort,1200,Ferry,800
Bali,11,31.0,Female,American,Airbnb,400,Flight,800
New York,8,28.0,Male,Cambodia,Hostel,700,Train,200
"Honolulu, Hawaii",13,30.0,Male,Mexican,Hotel,1100,Train,900
"London, UK",10,27.0,Female,South African,Hotel,500,Plane,500
"Seoul, South Korea",13,25.0,Male,Canadian,Villa,300,Airplane,1000
"Rio de Janeiro, Brazil",7,37.0,Male,Brazilian,Hostel,800,Plane,500
"Tokyo, Japan",7,27.0,Male,Brazilian,Hotel,500,Plane,400
"Rome, Italy",7,29.0,Male,American,Hotel,800,Bus,250
Santorini,12,45.0,Female,Dutch,Resort,1000,Plane,300
Barcelona,12,31.0,Female,United Arab Emirates,Hotel,1500,Airplane,400
"Cape Town, SA",9,28.0,Male,Taiwanese,Hotel,700,Plane,50
London,11,38.0,Female,United Kingdom,Hotel,800,Plane,2500
"London, UK",7,31.0,Female,American,Hotel,1200,Plane,1500
Cape Town,9,47.0,Male,Spain,Airbnb,800,Car,400
"Tokyo, Japan",14,28.0,Male,American,Hotel,1200,Car rental,500
Tokyo,8,41.0,Male,British,Resort,1200,Train,200
"Bangkok, Thailand",8,37.0,Male,Australian,Hotel,150,Plane,700
"Sydney, Aus",7,41.0,Male,Korean,Airbnb,1200,Plane,600
Seoul,10,33.0,Male,American,Airbnb,8000,Train,300
"Vancouver, Canada",7,37.0,Female,Korean,Hostel,800,Plane,120
Sydney,8,50.0,Female,South African,Resort,1500,Plane,600
"Sydney, Aus",9,31.0,Male,South African,Hotel,1500,Plane,400
Bali,8,42.0,Female,Spanish,Hotel,1200,Plane,300
Sydney,14,29.0,Female,South African,Hotel,600,Plane,700
"New York, USA",13,37.0,Male,American,Hotel,1100,Flight,1200
Canada,9,37.0,Female,Australian,Vacation rental,400,Plane,2500
Sydney,7,35.0,Female,Korean,Hostel,2000,Plane,300
New York,8,28.0,Female,Korean,Hotel,700,Car rental,1500
"Amsterdam, Netherlands",7,27.0,Male,Spanish,Airbnb,6000,Car rental,2500
"Bali, Indonesia",12,27.0,Male,South African,Airbnb,900,Plane,700
Phuket,7,39.0,Male,Australian,Hostel,900,Bus,500
Paris,7,50.0,Female,Mexican,Villa,1000,Plane,500
"Tokyo, Japan",12,41.0,Male,American,Hostel,1400,Plane,300
"Cancun, Mexico",14,26.0,Male,Indonesian,Hotel,400,Flight,600
Tokyo,13,26.0,Female,Australian,Resort,1000,Plane,75
"Bangkok, Thailand",7,32.0,Male,Canadian,Airbnb,500,Plane,300
Rome,7,28.0,Female,American,Hotel,900,Plane,700
Phnom Penh,8,26.0,Male,Korean,Hotel,1500,Plane,1000
"Berlin, Germany",13,33.0,Female,Chinese,Airbnb,700,Plane,600
"Bali, Indonesia",12,32.0,Male,Korean,Hotel,1200,Plane,2500
Bali,8,28.0,Female,Canadian,Hotel,900,Plane,800
Bali,12,29.0,Male,Vietnamese,Hostel,1200,Car rental,300
"Paris, France",13,29.0,Male,Italian,Airbnb,3000,Bus,500
"Cancun, Mexico",7,28.0,Female,Emirati,Resort,1000,Bus,50
Bali,7,29.0,Female,American,Guesthouse,4000,Car,200
"New York City, USA",8,42.0,Male,British,Hotel,800,Plane,80
"Tokyo, Japan",10,24.0,Female,British,Airbnb,1000,Plane,1200
"Sydney, Australia",8,33.0,Male,Korean,Vacation rental,700,Plane,1000
New York,8,28.0,Male,British,Hostel,800,Plane,100
"Honolulu, Hawaii",7,28.0,Female,United Kingdom,Hostel,180,Airplane,250
Sydney,9,27.0,Female,Indian,Resort,800,Train,700
"Paris, France",9,35.0,Female,American,Airbnb,600,Plane,700
Sydney,12,26.0,Female,Emirati,Airbnb,700,Plane,600
"Marrakech, Morocco",8,33.0,Male,American,Resort,900,Train,500
Bangkok,12,27.0,Male,Taiwan,Hotel,1100,Plane,100
Bali,8,42.0,Male,Chinese,Hotel,2000,Plane,300
"Rio de Janeiro, Brazil",7,29.0,Male,South African,Hotel,1800,Plane,300
"Paris, France",7,20.0,Male,British,Resort,1200,Plane,200
"Sydney, Aus",13,29.0,Female,Singapore,Hotel,600,Train,2500
Sydney,8,60.0,Male,United Arab Emirates,Airbnb,400,Bus,800
"Seoul, South Korea",8,30.0,Female,Indonesian,Hotel,7000,Flight,800
Rome,13,41.0,Female,British,Hostel,2000,Plane,700
"Paris, France",13,28.0,Male,German,Hotel,6000,Flight,1200
Australia,13,28.0,Male,Brazilian,Hostel,7000,Car rental,150
Barcelona,12,32.0,Female,USA,Hotel,500,Plane,1000
"New York City, USA",7,45.0,Female,Spanish,Airbnb,1200,Train,50
Barcelona,13,45.0,Male,American,Villa,2000,Flight,500
"Vancouver, Canada",11,32.0,Female,Brazilian,Hostel,400,Plane,800
"Berlin, Germany",8,39.0,Female,Canadian,Hotel,400,Train,2500
Spain,13,31.0,Male,Korean,Hotel,200,Train,1200
"Cancun, Mexico",8,45.0,Male,Canadian,Hotel,500,Train,2000
Cape Town,11,35.0,Female,UK,Hotel,3000,Airplane,900
"Barcelona, Spain",10,37.0,Male,Canada,Resort,500,Flight,700
Canada,11,41.0,Male,Australian,Hotel,7000,Plane,500
Australia,7,33.0,Male,South African,Hostel,1400,Plane,2500
"Rome, Italy",8,31.0,Female,Hong Kong,Hostel,200,Plane,700
"Cape Town, South Africa",8,31.0,Male,Canadian,Hotel,800,Airplane,300
Cape Town,7,28.0,Male,British,Hostel,1000,Train,1200
Dubai,7,27.0,Female,Australian,Airbnb,200,Flight,300
"Bali, Indonesia",8,42.0,Male,Korean,Hostel,800,Train,200
"Vancouver, Canada",7,38.0,Male,Mexican,Airbnb,700,Bus,800
"Cape Town, South Africa",12,45.0,Male,USA,Vacation rental,1500,Car,150
"Bali, Indonesia",12,29.0,Male,British,Resort,800,Plane,300
Tokyo,7,27.0,Female,American,Hotel,400,Plane,700
"Bali, Indonesia",10,28.0,Male,Australian,Hotel,7000,Train,800
"Paris, France",7,28.0,Male,Spain,Guesthouse,1300,Flight,150
London,11,33.0,Female,Mexican,Airbnb,900,Train,2000
New York,8,25.0,Male,Scottish,Airbnb,1200,Flight,150
"Cape Town, SA",7,45.0,Female,Korean,Hotel,300,Plane,300
"Marrakech, Morocco",10,25.0,Male,Italian,Hotel,800,Plane,700
"Rio de Janeiro, Brazil",8,31.0,Female,Canadian,Hotel,1800,Flight,20
"Cape Town, SA",7,29.0,Female,Canadian,Hotel,800,Car rental,500
New York,10,29.0,Female,Chinese,Airbnb,600,Train,200
Phnom Penh,8,27.0,Female,Korean,Hotel,1100,Plane,2500
London,7,34.0,Male,British,Hostel,1500,Plane,900
"Bangkok, Thailand",11,28.0,Female,Canadian,Hotel,1200,Ferry,400
"Tokyo, Japan",10,29.0,Female,Chinese,Hostel,1000,Car,900
Tokyo,6,31.0,Female,Spanish,Hostel,400,Flight,800
"Cancun, Mexico",14,36.0,Female,British,Airbnb,1400,Plane,700
Tokyo,13,24.0,Female,Korean,Hostel,1200,Plane,200
London,8,27.0,Female,Korean,Hotel,1400,Train,200
Rome,7,26.0,Male,American,Hotel,900,Plane,700
"Tokyo, Japan",9,25.0,Male,Taiwan,Hotel,1100,Train,700
Seoul,7,27.0,Male,Australian,Airbnb,150,Plane,800
New York,7,32.0,Male,Emirati,Airbnb,700,Airplane,200
"Edinburgh, Scotland",7,25.0,Female,South Korean,Hostel,5000,Plane,1200
Spain,7,30.0,Male,British,Airbnb,1100,Car,600
"Barcelona, Spain",8,29.0,Male,South Korea,Hostel,700,Plane,300
"Paris, France",12,45.0,Male,Australian,Hotel,400,Flight,3000
"Bangkok, Thailand",8,42.0,Male,New Zealander,Vacation rental,700,Flight,2500
"Paris, France",11,28.0,Male,American,Hotel,900,Plane,700
Barcelona,7,35.0,Male,China,Hotel,300,Car rental,700
"Berlin, Germany",11,38.0,Female,Indian,Hotel,2200,Train,700
Phuket,7,29.0,Female,American,Hotel,1100,Plane,700
Rome,12,35.0,Female,Cambodia,Hotel,1200,Train,100
Mexico,8,35.0,Male,American,Hostel,1000,Bus,150
"Edinburgh, Scotland",7,33.0,Male,American,Resort,1400,Car rental,500
"Sydney, AUS",7,30.0,Male,Canadian,Hotel,300,Bus,150
"London, UK",7,45.0,Female,China,Airbnb,700,Car,2500
Greece,9,28.0,Male,Japanese,Hotel,900,Train,200
"Cape Town, SA",7,25.0,Female,Canada,Resort,900,Plane,2000
"Paris, France",8,25.0,Male,Italy,Guesthouse,1200,Train,300
"Athens, Greece",8,30.0,Female,Spanish,Airbnb,1300,Airplane,600
Bali,13,31.0,Male,Australian,Riad,150,Plane,250
"Auckland, New Zealand",12,31.0,Female,Canadian,Hostel,7000,Plane,1000
"Seoul, South Korea",7,55.0,Female,British,Airbnb,900,Bus,800
"Rio de Janeiro, Brazil",9,39.0,Female,American,Airbnb,2500,Flight,350
"Bali, Indonesia",7,32.0,Female,Indian,Hostel,3000,Plane,300
"Paris, France",7,28.0,Female,Emirati,Hostel,600,Plane,200
Dubai,12,28.0,Male,Australian,Hostel,300,Train,1500
Dubai,7,41.0,Female,Taiwan,Airbnb,400,Train,500
Thailand,7,39.0,Male,Canadian,Hotel,350,Plane,1200
"Rio de Janeiro, Brazil",10,25.0,Male,China,Hotel,1200,Plane,2500
"Bangkok, Thailand",7,28.0,Male,Taiwan,Airbnb,1000,Flight,1000
"Berlin, Germany",13,27.0,Female,German,Hotel,900,Train,150
Bali,8,31.0,Female,British,Resort,6000,Car rental,800
"Phuket, Thai",8,30.0,Female,Canada,Hotel,800,Flight,100
"Vancouver, Canada",8,28.0,Male,British,Resort,200,Flight,800
London,12,33.0,Male,Chinese,Hotel,400,Plane,400
"Bali, Indonesia",8,27.0,Female,Cambodia,Hotel,800,Plane,3000
"Rio de Janeiro, Brazil",7,33.0,Female,Korean,Airbnb,900,Train,3000
"Paris, France",7,32.0,Male,Spanish,Hotel,1300,Plane,200
Bangkok,8,27.0,Male,Canadian,Hotel,900,Train,700
"Rome, Italy",7,45.0,Female,Korean,Hotel,1200,Plane,2000
"Paris, France",8,29.0,Female,American,Hotel,500,Train,700
"Barcelona, Spain",10,37.0,Male,South African,Hotel,2500,Plane,100
Paris,7,33.0,Male,Spanish,Hotel,1200,Flight,500
Bali,12,38.0,Male,Dutch,Hotel,1100,Plane,600
"Rio de Janeiro, Brazil",12,31.0,Female,Australian,Hotel,2500,Bus,400
Dubai,12,28.0,Male,South African,Hotel,3000,Plane,150
Bangkok,12,29.0,Male,American,Hotel,1200,Flight,500
Dubai,7,45.0,Female,Vietnamese,Hostel,1300,Plane,1200
"Cancun, Mexico",12,29.0,Male,Korean,Resort,600,Train,600
Bali,7,24.0,Female,New Zealander,Airbnb,5000,Plane,100
Rome,7,26.0,Male,Italian,Hostel,400,Flight,120
Tokyo,13,27.0,Male,Korean,Vacation rental,400,Car rental,400
"Sydney, Aus",7,25.0,Female,South Korea,Airbnb,400,Plane,120
Santorini,8,41.0,Female,British,Hotel,400,Train,900
Santorini,11,31.0,Female,Australian,Airbnb,1500,Plane,200
Sydney,8,28.0,Female,Indian,Hotel,3000,Train,100
"Rome, Italy",8,33.0,Female,Vietnamese,Airbnb,1200,Plane,150
"Bali, Indonesia",7,32.0,Male,Emirati,Airbnb,900,Plane,600
"Paris, France",8,31.0,Male,South African,Hostel,1000,Car rental,700
Greece,10,24.0,Female,Scottish,Hotel,700,Plane,2000
"Tokyo, Japan",8,32.0,Male,Canadian,Hotel,400,Train,200
Thailand,12,41.0,Female,Italian,Hotel,1000,Flight,700
"Bali, Indonesia",9,27.0,Female,USA,Resort,1800,Flight,300
"Athens, Greece",8,35.0,Female,American,Hotel,5000,Plane,400
Bali,7,29.0,Female,Indian,Airbnb,7000,Car,150
Brazil,7,27.0,Female,British,Airbnb,1400,Train,250
"Sydney, Aus",8,33.0,Male,American,Villa,700,Train,150
Bangkok,7,39.0,Female,Spanish,Hostel,2000,Train,200
"Tokyo, Japan",8,26.0,Male,Italian,Hotel,800,Plane,1000
Phuket,8,31.0,Female,Canadian,Hostel,7000,Flight,800
Sydney,11,29.0,Female,British,Airbnb,800,Plane,800
New York,10,29.0,Female,American,Guesthouse,2500,Plane,300
"Amsterdam, Netherlands",10,24.0,Female,Indian,Vacation rental,900,Plane,150
Bangkok,8,31.0,Male,Indian,Resort,2500,Car rental,3000
Paris,10,45.0,Male,Emirati,Hotel,350,Plane,800
Paris,9,39.0,Male,American,Resort,1000,Plane,300
Cape Town,10,31.0,Female,Moroccan,Hostel,800,Plane,200
Tokyo,10,29.0,Female,British,Hotel,7000,Bus,200
Dubai,12,35.0,Male,American,Hotel,3000,Bus,300
Bali,7,41.0,Male,Korean,Airbnb,500,Plane,1000
Spain,12,28.0,Female,Scottish,Airbnb,600,Plane,150
"Los Angeles, USA",8,23.0,Male,Canadian,Airbnb,500,Train,300
"Tokyo, Japan",7,31.0,Male,American,Hostel,200,Ferry,2000
Japan,7,45.0,Female,Korean,Hotel,700,Car,150
"Seoul, South Korea",12,27.0,Female,American,Hotel,1000,Airplane,75
London,7,42.0,Male,Taiwan,Guesthouse,7000,Plane,1500
Bangkok,10,27.0,Female,Canadian,Hotel,8000,Plane,250
"Bali, Indonesia",12,27.0,Male,British,Hostel,800,Plane,600
"Dubai, United Arab Emirates",7,29.0,Male,Greece,Airbnb,200,Car rental,1200
Seoul,12,33.0,Male,Dutch,Resort,5000,Plane,700
"Dubai, United Arab Emirates",7,45.0,Male,American,Hostel,400,Train,300
"Cape Town, SA",13,34.0,Male,Taiwan,Hostel,5000,Plane,800
Amsterdam,8,27.0,Male,South Korean,Hotel,2000,Plane,900
"Barcelona, Spain",13,33.0,Male,Canadian,Hostel,500,Train,150
Rome,9,32.0,Male,Indian,Airbnb,900,Train,200
"Amsterdam, Netherlands",7,45.0,Female,American,Vacation rental,1000,Subway,50
New York,10,45.0,Female,New Zealander,Resort,5000,Train,700
"Cancun, Mexico",7,60.0,Male,South African,Hotel,6000,Car rental,700
Bali,12,41.0,Male,Brazilian,Resort,1000,Plane,700
"Rome, Italy",8,31.0,Female,Indian,Hotel,1300,Airplane,2500
"Sydney, Aus",7,28.0,Male,Korean,Airbnb,900,Train,250
"Cancun, Mexico",8,35.0,Male,American,Hotel,1300,Car,900
"Tokyo, Japan",9,42.0,Female,Australian,Hotel,900,Plane,500
Sydney,8,27.0,Male,Vietnamese,Hotel,4000,Bus,1000
"Sydney, Australia",7,33.0,Male,Canadian,Airbnb,400,Train,2500
"Paris, France",10,43.0,Male,Canadian,Villa,150,Car rental,150
New York,14,40.0,Female,Vietnamese,Hostel,400,Plane,2000
"Phuket, Thai",11,46.0,Female,Germany,Hotel,500,Train,200
"New York, USA",9,27.0,Female,Singapore,Hotel,1000,Car rental,100
"Rio de Janeiro, Brazil",11,26.0,Female,German,Hostel,400,Train,2500
Rome,14,28.0,Male,Chinese,Resort,1500,Car rental,200
"Bangkok, Thailand",8,27.0,Female,Canada,Resort,200,Car rental,250
"Cape Town, SA",13,28.0,Female,Chinese,Resort,1000,Train,500
"Rio de Janeiro, Brazil",8,26.0,Female,Singapore,Resort,400,Car rental,900
New York,7,26.0,Female,British,Airbnb,900,Train,800
Bali,7,29.0,Male,American,Vacation rental,300,Plane,500
"Rome, Italy",13,25.0,Male,Italian,Villa,1500,Flight,500
Paris,7,43.0,Female,South Korean,Riad,700,Plane,900
"Auckland, New Zealand",11,38.0,Male,USA,Hotel,2000,Plane,100
Santorini,12,28.0,Female,Taiwan,Hotel,900,Car rental,400
"Rio de Janeiro, Brazil",8,25.0,Female,British,Airbnb,2000,Airplane,50
"Tokyo, Japan",7,38.0,Male,Indian,Hotel,900,Plane,700
Tokyo,8,37.0,Male,Australian,Riad,3000,Car rental,150
"Cape Town, South Africa",7,45.0,Female,Mexican,Hotel,3000,Car rental,700
"Bangkok, Thailand",13,41.0,Male,Korean,Hotel,2000,Plane,100
"Vancouver, Canada",7,24.0,Female,South Korean,Villa,900,Plane,1000
"Cape Town, SA",8,29.0,Male,Korean,Resort,200,Plane,75
France,7,31.0,Male,Greece,Hotel,800,Train,1200
"Berlin, Germany",10,30.0,Female,Canadian,Hostel,600,Train,600
"Cape Town, SA",12,27.0,Male,Australian,Resort,3000,Plane,2500
"Los Angeles, USA",8,25.0,Female,Canada,Hotel,180,Train,300
Santorini,14,41.0,Male,Italian,Hostel,5000,Car rental,2500
"Cancun, Mexico",8,38.0,Female,Italian,Hostel,600,Plane,500
"Amsterdam, Netherlands",13,27.0,Male,British,Resort,600,Plane,700
Paris,9,41.0,Female,Moroccan,Airbnb,600,Plane,3000
"Bangkok, Thailand",7,28.0,Male,American,Airbnb,500,Train,200
"London, UK",7,32.0,Female,Indian,Hotel,900,Plane,800
Spain,11,26.0,Male,Vietnamese,Villa,700,Plane,800
Greece,14,45.0,Male,South African,Resort,400,Plane,500
"Bali, Indonesia",7,35.0,Male,Canada,Hotel,500,Plane,500
France,12,25.0,Female,British,Hostel,1200,Plane,700
Tokyo,8,42.0,Male,American,Hotel,800,Plane,20
"Barcelona, Spain",8,25.0,Female,American,Hotel,900,Flight,200
Barcelona,11,31.0,Female,Spain,Airbnb,1800,Flight,500
"Los Angeles, USA",14,29.0,Female,South Korean,Hotel,1200,Train,600
"Barcelona, Spain",11,36.0,Female,South African,Resort,1100,Train,800
Seoul,7,31.0,Male,Emirati,Hostel,800,Plane,800
"Paris, France",7,30.0,Male,South Korean,Hostel,1500,Train,700
"Barcelona, Spain",8,25.0,Male,South Korean,Hotel,800,Bus,700
Barcelona,8,33.0,Male,American,Hostel,400,Ferry,500
Greece,7,27.0,Female,American,Resort,900,Plane,200
"Amsterdam, Netherlands",13,29.0,Female,German,Hostel,2200,Airplane,700
Barcelona,7,34.0,Male,American,Airbnb,200,Train,400
London,8,55.0,Male,American,Airbnb,2200,Train,200
"Marrakech, Morocco",7,28.0,Female,Canadian,Resort,2000,Flight,800
Tokyo,12,60.0,Male,French,Hotel,1000,Train,200
London,7,29.0,Male,Hong Kong,Hostel,200,Plane,300
"Tokyo, Japan",8,29.0,Male,Indian,Airbnb,600,Airplane,800
"Bangkok, Thailand",14,27.0,Female,American,Hotel,7000,Plane,500
"Barcelona, Spain",7,29.0,Female,American,Hotel,2000,Plane,700
Bangkok,7,31.0,Male,Spanish,Resort,1200,Plane,2000
Rome,8,42.0,Male,South Korea,Resort,1800,Car rental,300
New York,12,41.0,Male,South Korean,Resort,400,Car rental,300
"Cancun, Mexico",7,26.0,Female,Indian,Airbnb,7000,Flight,700
Greece,13,60.0,Male,Moroccan,Hotel,3000,Train,2500
London,7,41.0,Male,Italian,Hotel,400,Flight,300
"Sydney, Australia",8,35.0,Female,American,Hotel,7000,Plane,500
London,13,28.0,Male,Italian,Airbnb,800,Train,1200
"Barcelona, Spain",10,30.0,Female,Australian,Hostel,4000,Plane,300
Phnom Penh,11,32.0,Male,Spain,Hostel,700,Airplane,300
"London, UK",7,29.0,Male,British,Hostel,300,Flight,50
"Bangkok, Thailand",8,42.0,Male,Australian,Hotel,500,Plane,400
"New York, USA",12,28.0,Male,New Zealander,Airbnb,1000,Plane,300
Greece,7,35.0,Female,Chinese,Hotel,400,Airplane,600
New York,8,25.0,Male,Italy,Airbnb,400,Airplane,800
"Bangkok, Thailand",12,30.0,Female,South Korean,Hostel,800,Plane,400
Phnom Penh,11,42.0,Female,American,Hotel,300,Plane,3000
Bali,8,24.0,Female,British,Airbnb,700,Train,2000
Rome,7,37.0,Male,Korean,Riad,1800,Bus,50
"Paris, France",11,38.0,Male,Canadian,Vacation rental,800,Ferry,800
"Barcelona, Spain",9,29.0,Male,Canada,Hostel,1200,Train,100
"Vancouver, Canada",7,28.0,Male,Indian,Airbnb,300,Train,700
"Bangkok, Thailand",8,45.0,Male,South Korean,Riad,1400,Train,250
New York,10,31.0,Female,American,Airbnb,800,Plane,1000
"Dubai, United Arab Emirates",8,42.0,Male,Greece,Airbnb,400,Plane,400
Sydney,9,40.0,Female,Spanish,Hostel,1000,Car rental,1200
"New York, USA",8,29.0,Female,Chinese,Hotel,700,Car,700
"Honolulu, Hawaii",8,31.0,Male,China,Airbnb,600,Car,1200
Sydney,10,28.0,Female,American,Airbnb,900,Airplane,500
"Tokyo, Japan",7,30.0,Male,South African,Hotel,1400,Plane,800
"Vancouver, Canada",8,41.0,Female,Germany,Airbnb,600,Plane,250
"Sydney, Aus",8,29.0,Female,South Korea,Hotel,1000,Plane,500
Thailand,8,32.0,Male,German,Resort,1200,Car rental,700
"Cape Town, SA",8,27.0,Male,Australian,Hotel,800,Train,1000
"Cape Town, South Africa",8,31.0,Female,British,Hostel,6000,Train,100
"Seoul, South Korea",7,30.0,Female,Spain,Vacation rental,400,Train,800
Phuket,14,33.0,Male,Moroccan,Resort,700,Plane,700
"Marrakech, Morocco",7,26.0,Female,Indian,Hotel,900,Flight,300
Dubai,8,43.0,Male,Australian,Hotel,700,Train,400
New York,8,45.0,Female,USA,Resort,2000,Plane,2000
"Amsterdam, Netherlands",8,33.0,Male,Japanese,Hotel,900,Plane,50
Bali,11,50.0,Male,American,Airbnb,400,Plane,700
"Cancun, Mexico",7,31.0,Female,South African,Airbnb,1200,Plane,1000
"Paris, France",8,42.0,Male,Japan,Hostel,900,Car,800
"Barcelona, Spain",13,37.0,Female,Mexican,Hostel,6000,Airplane,700
Paris,8,39.0,Female,American,Airbnb,900,Plane,900
"Tokyo, Japan",8,35.0,Male,Australian,Villa,180,Plane,200
Bali,7,35.0,Female,Chinese,Airbnb,400,Plane,50
"Rio de Janeiro, Brazil",8,29.0,Female,Spanish,Hotel,300,Plane,800
"Tokyo, Japan",7,37.0,Male,British,Guesthouse,900,Plane,100
New York,8,37.0,Male,Indian,Airbnb,400,Plane,700
"Vancouver, Canada",7,25.0,Male,South African,Hostel,400,Flight,300
London,8,40.0,Male,Spanish,Airbnb,7000,Train,400
Sydney,8,29.0,Male,United Arab Emirates,Hotel,1500,Plane,800
Egypt,7,28.0,Male,Korean,Hostel,1000,Plane,80
"Bangkok, Thailand",7,45.0,Male,Japanese,Airbnb,700,Plane,300
Italy,8,31.0,Male,British,Hostel,800,Train,150
London,8,26.0,Male,Emirati,Hostel,400,Plane,600
"Marrakech, Morocco",10,31.0,Male,Australian,Hotel,1000,Car rental,500
"Bali, Indonesia",13,29.0,Female,British,Hotel,1200,Train,1000
"Berlin, Germany",7,31.0,Female,Canada,Resort,2000,Train,1000
Rome,8,46.0,Male,British,Airbnb,1000,Train,100
"Vancouver, Canada",10,37.0,Female,Chinese,Hostel,5000,Bus,300
London,11,37.0,Male,American,Hotel,1200,Car,100
"Amsterdam, Netherlands",13,37.0,Male,American,Hotel,1200,Train,3000
"Rio de Janeiro, Brazil",13,35.0,Male,Japanese,Vacation rental,2000,Plane,100
"Rome, Italy",7,32.0,Female,British,Airbnb,1200,Train,200
Barcelona,8,26.0,Male,South African,Vacation rental,1400,Car,600
"Tokyo, Japan",11,28.0,Female,British,Hostel,500,Plane,150
Bangkok,12,40.0,Male,Cambodia,Villa,1000,Car rental,700
"Tokyo, Japan",10,24.0,Female,Chinese,Airbnb,1200,Train,2500
Paris,7,25.0,Female,Indonesian,Hostel,2000,Car,1000
